Order ID;Month;Year;City;Segment;Category;Sub-Category;Product Name;Sales;Quantity;Profit
CA-2014-156587;Maret;2014;DKI Jakarta;Consumer;Furniture;Chairs;Global Push Button Manager's Chair, Indigo;USD 48,71;1;USD 5,48
CA-2014-156587;Maret;2014;Jawa Barat;Consumer;Office Supplies;Storage;"Carina 42""Hx23 3/4""W Media Storage Unit";USD 242,94;3;USD 4,86
CA-2014-152905;Februari;2014;Banten;Consumer;Office Supplies;Storage;Akro Stacking Bins;USD 12,62;2;USD 2,52
CA-2014-156587;Maret;2014;Jawa Tengah;Consumer;Office Supplies;Art;Newell 330;USD 17,94;3;USD 4,66
CA-2014-157644;Desember;2014;DI Yogyakarta;Corporate;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack;USD 34,77;3;USD 11,47
CA-2014-113768;Mei;2014;Jawa Timur;Corporate;Furniture;Chairs;Iceberg Nesting Folding Chair, 19w x 6d x 43h;USD 279,46;6;USD 20,96
CA-2014-122070;April;2014;DKI Jakarta;Corporate;Office Supplies;Binders;"ACCOHIDE 3-Ring Binder, Blue, 1""";USD 9,91;3;USD 3,35
US-2014-158400;Oktober;2014;Jawa Barat;Corporate;Office Supplies;Binders;GBC VeloBind Cover Sets;USD 49,41;4;USD 18,53
CA-2014-113768;Mei;2014;Banten;Corporate;Office Supplies;Paper;EcoTones Memo Sheets;USD 8,00;2;USD 3,84
CA-2014-122070;April;2014;Jawa Tengah;Corporate;Office Supplies;Envelopes;Staple envelope;USD 247,84;8;USD 121,44
CA-2014-157644;Desember;2014;DI Yogyakarta;Corporate;Office Supplies;Labels;Avery 51;USD 18,90;3;USD 8,69
US-2014-150126;Juli;2014;Jawa Timur;Corporate;Office Supplies;Paper;Xerox 1956;USD 65,78;11;USD 32,23
CA-2014-160066;November;2014;Jawa Tengah;Corporate;Office Supplies;Labels;Permanent Self-Adhesive File Folder Labels for Typewriters by Universal;USD 5,22;2;USD 2,40
CA-2014-156160;September;2014;DI Yogyakarta;Consumer;Office Supplies;Art;Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink;USD 13,04;4;USD 5,74
CA-2014-132913;Desember;2014;Jawa Timur;Consumer;Office Supplies;Appliances;Belkin 7-Outlet SurgeMaster Home Series;USD 13,97;1;USD 3,63
CA-2014-156160;September;2014;DKI Jakarta;Consumer;Office Supplies;Binders;Cardinal Holdit Business Card Pockets;USD 3,98;1;USD 1,39
CA-2014-156160;September;2014;Jawa Barat;Consumer;Furniture;Furnishings;"Computer Room Manger, 14""";USD 97,44;3;USD 35,08
CA-2014-103100;Desember;2014;Banten;Consumer;Office Supplies;Binders;Ibico Ibimaster 300 Manual Binding System;USD 1.103,97;3;USD 496,79
CA-2014-103100;Desember;2014;Jawa Tengah;Consumer;Office Supplies;Labels;Avery 487;USD 3,69;1;USD 1,73
CA-2014-123295;Juli;2014;DI Yogyakarta;Home Office;Furniture;Chairs;Office Star - Ergonomically Designed Knee Chair;USD 259,14;4;USD 25,91
CA-2014-169061;Maret;2014;Jawa Timur;Consumer;Office Supplies;Supplies;Acme Forged Steel Scissors with Black Enamel Handles;USD 18,62;2;USD 5,40
CA-2014-169061;Maret;2014;Jawa Timur;Consumer;Technology;Accessories;Logitech Wireless Gaming Headset G930;USD 479,97;3;USD 177,59
CA-2014-169061;Maret;2014;DKI Jakarta;Consumer;Office Supplies;Binders;GBC Wire Binding Combs;USD 49,63;6;USD 16,75
CA-2014-169061;Maret;2014;Jawa Barat;Consumer;Office Supplies;Art;Newell 345;USD 59,52;3;USD 15,48
CA-2014-169061;Maret;2014;Banten;Consumer;Office Supplies;Paper;Xerox 1891;USD 97,82;2;USD 45,98
US-2014-139500;November;2014;Jawa Tengah;Consumer;Furniture;Chairs;SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair;USD 37,30;2;USD 1,07
US-2014-152030;Desember;2014;DI Yogyakarta;Home Office;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;USD 600,56;3;USD 8,58
CA-2014-153983;November;2014;Jawa Timur;Consumer;Technology;Phones;Wilson SignalBoost 841262 DB PRO Amplifier Kit;USD 575,92;2;USD 71,99
CA-2014-153983;November;2014;DKI Jakarta;Consumer;Office Supplies;Fasteners;Staples;USD 30,40;5;USD 15,20
CA-2014-110408;Oktober;2014;Jawa Barat;Corporate;Office Supplies;Storage;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;USD 275,97;3;USD 11,04
CA-2014-110408;Oktober;2014;Banten;Corporate;Furniture;Chairs;Global Wood Trimmed Manager's Task Chair, Khaki;USD 545,88;6;USD 70,96
CA-2014-110408;Oktober;2014;Jawa Tengah;Corporate;Technology;Phones;Avaya IP Phone 1140E VoIP phone;USD 1.394,95;5;USD 362,69
CA-2014-149958;Maret;2014;DI Yogyakarta;Consumer;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany;USD 45,70;3;USD 5,14
CA-2014-128538;Oktober;2014;Jawa Timur;Consumer;Office Supplies;Envelopes;"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes";USD 7,64;1;USD 3,74
CA-2014-149958;Maret;2014;DKI Jakarta;Consumer;Office Supplies;Binders;GBC VeloBinder Manual Binding System;USD 43,19;4;USD 31,67
CA-2014-149958;Maret;2014;Jawa Barat;Consumer;Office Supplies;Binders;Insertable Tab Post Binder Dividers;USD 7,22;3;USD 5,53
CA-2014-149958;Maret;2014;Banten;Consumer;Office Supplies;Storage;Hot File 7-Pocket, Floor Stand;USD 142,78;1;USD 17,85
CA-2014-149958;Maret;2014;Jawa Tengah;Consumer;Office Supplies;Paper;Xerox 1889;USD 131,90;3;USD 47,82
CA-2014-122679;Juli;2014;DI Yogyakarta;Home Office;Office Supplies;Art;Crayola Colored Pencils;USD 19,68;6;USD 6,49
CA-2014-103058;Juli;2014;Jawa Timur;Consumer;Technology;Accessories;Case Logic 2.4GHz Wireless Keyboard;USD 99,98;2;USD 8,00
CA-2014-167164;Mei;2014;Jawa Tengah;Consumer;Office Supplies;Storage;Fellowes Super Stor/Drawer;USD 55,50;2;USD 9,99
